sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,total_qty,shelf_location,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,updated_time,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
1-WAK-FOT-SHI-GK002B-YLW-MB,,Default,simple,,base_migrated,Goalkeeper Shirt | Boys,,,1,1,Taxable Goods,Not Visible Individually,207.9,,,,goalkeeper-shirt-boys,Goalkeeper Shirt | Boys,Goalkeeper Shirt | Boys,Goalkeeper Shirt | Boys ,/g/k/gkm_1_1.jpg,,/g/k/gkm_1_1.jpg,,/g/k/gkm_1_1.jpg,,,,"6/18/19, 1:14 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=YLW,product_brand=Samurai Sportswear,size=MB,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:45,,,,,,,/g/k/gkm_1_1.jpg,,,,,,,,,,,,
1-WAK-FOT-SHI-GK002B-YLW-LB,,Default,simple,,base_migrated,Goalkeeper Shirt | Boys,,,1,1,Taxable Goods,Not Visible Individually,207.9,,,,goalkeeper-shirt-boys,Goalkeeper Shirt | Boys,Goalkeeper Shirt | Boys,Goalkeeper Shirt | Boys ,/g/k/gkm_1_2.jpg,,/g/k/gkm_1_2.jpg,,/g/k/gkm_1_2.jpg,,,,"6/18/19, 1:14 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=YLW,product_brand=Samurai Sportswear,size=LB,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:45,,,,,,,/g/k/gkm_1_2.jpg,,,,,,,,,,,,
1-WAK-FOT-SHI-GK002B-YLW-XS,,Default,simple,,base_migrated,Goalkeeper Shirt | Boys,,,1,1,Taxable Goods,Not Visible Individually,243.6,,,,goalkeeper-shirt-boys,Goalkeeper Shirt | Boys,Goalkeeper Shirt | Boys,Goalkeeper Shirt | Boys ,/g/k/gkm_1_3.jpg,,/g/k/gkm_1_3.jpg,,/g/k/gkm_1_3.jpg,,,,"6/18/19, 1:14 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=YLW,product_brand=Samurai Sportswear,size=XS,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:45,,,,,,,/g/k/gkm_1_3.jpg,,,,,,,,,,,,
1-WAK-FOT-SHI-GK002B-YLW-S,,Default,simple,,base_migrated,Goalkeeper Shirt | Boys,,,1,1,Taxable Goods,Not Visible Individually,243.6,,,,goalkeeper-shirt-boys,Goalkeeper Shirt | Boys,Goalkeeper Shirt | Boys,Goalkeeper Shirt | Boys ,/g/k/gkm_1_4.jpg,,/g/k/gkm_1_4.jpg,,/g/k/gkm_1_4.jpg,,,,"6/18/19, 1:14 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=YLW,product_brand=Samurai Sportswear,size=S,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:45,,,,,,,/g/k/gkm_1_4.jpg,,,,,,,,,,,,
1-WAK-FOT-SHI-GK002B-YLW-M,,Default,simple,,base_migrated,Goalkeeper Shirt | Boys,,,1,1,Taxable Goods,Not Visible Individually,243.6,,,,goalkeeper-shirt-boys,Goalkeeper Shirt | Boys,Goalkeeper Shirt | Boys,Goalkeeper Shirt | Boys ,/g/k/gkm_1_5.jpg,,/g/k/gkm_1_5.jpg,,/g/k/gkm_1_5.jpg,,,,"6/18/19, 1:14 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=YLW,product_brand=Samurai Sportswear,size=M,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:45,,,,,,,/g/k/gkm_1_5.jpg,,,,,,,,,,,,
1-WAK-FOT-SHI-GK002B-YLW-L,,Default,simple,,base_migrated,Goalkeeper Shirt | Boys,,,1,1,Taxable Goods,Not Visible Individually,243.6,,,,goalkeeper-shirt-boys,Goalkeeper Shirt | Boys,Goalkeeper Shirt | Boys,Goalkeeper Shirt | Boys ,/g/k/gkm_1_6.jpg,,/g/k/gkm_1_6.jpg,,/g/k/gkm_1_6.jpg,,,,"6/18/19, 1:14 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=YLW,product_brand=Samurai Sportswear,size=L,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:46,,,,,,,/g/k/gkm_1_6.jpg,,,,,,,,,,,,
1-WAK-FOT-SHI-GK002B-YLW,,Default,configurable,,base_migrated,Goalkeeper Shirt | Boys,,,1,1,Taxable Goods,Catalog,,,,,goalkeeper-shirt-boys,Goalkeeper Shirt | Boys,Goalkeeper Shirt | Boys,Goalkeeper Shirt | Boys ,/g/k/gkm.jpg,,/g/k/gkm.jpg,,/g/k/gkm.jpg,,no_selection,,"6/18/19, 1:15 PM","8/26/19, 10:56 AM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=YLW,product_brand=Samurai Sportswear,webpos_visible=Yes",0,0,,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,2,2019-06-24 10:49:56,,,,,,,/g/k/gkm.jpg,,,,,,,,,,"sku=1-WAK-FOT-SHI-GK002B-YLW-SB,size=SB,size=SB|sku=1-WAK-FOT-SHI-GK002B-YLW-MB,size=MB,size=MB|sku=1-WAK-FOT-SHI-GK002B-YLW-LB,size=LB,size=LB|sku=1-WAK-FOT-SHI-GK002B-YLW-XS,size=XS,size=XS|sku=1-WAK-FOT-SHI-GK002B-YLW-S,size=S,size=S|sku=1-WAK-FOT-SHI-GK002B-YLW-M,size=M,size=M|sku=1-WAK-FOT-SHI-GK002B-YLW-L,size=L,size=L",size=Size,
1-WAK-NET-SHO002-RYB-CHD,,Default,simple,Root Catalog Migrated/Schools & Clubs/Wellington Academy Al Khail,base_migrated,Multi Sports Shorts | Girls,"<p>Micro Poplin breathable fabric, with a semi-matt sports finish. This durable fabric was developed specifically for Multisport Trackpants & Leisure Shorts.</P>

<br>
<img src=""{{media url='wysiwyg/sizeguide/taslonpolyester.png'}}"" style=""-ms-interpolation-mode: bicubic; max-width: 200px;"">

<p> <strong> Washing Instructions</strong> </p>
<li><span style=""color: #da1f26;"">DO NOT TUMBLE DRY</li>
<li>Wash at 40c or below</li>
<li>Always look for the garment care label and follow the washing instructions</li>
<li>Garments of similar colours can be wash together where stated on the label</li>
<li>Wash match play garments promptly. Do not allow mud or stains to set</li>
","<p>Please click here for <span style=""color: #0000ff;"">&nbsp;<strong><a href=""{{media url='wysiwyg/sizeguide/Fitting_Guides_Female.pdf'}}"" target=""_blank""><span style=""color: #0000ff;"">Size Guide</span></a></strong></span></p>
<p>&nbsp;</p>





<p>With an internal short for comfort and security, this short features a concealed zip back pocket</p>



<p>This item is only available on a pre-ordering system. Deadline to order is 26 June 2019, delivery will be approximately 6-8 weeks from this date and you will be notified when your order has arrived.</p>

Color : Royal 018 | Fabric: Taslon Polyester | 110 gm 100% Polyester
",1,1,Taxable Goods,Not Visible Individually,110,,,,multi-sports-shorts-girls,Multi Sports Shorts | Girls,Multi Sports Shorts | Girls,"Multi Sports Shorts | Girls Micro Poplin breathable fabric, with a semi-matt sports finish. This durable fabric was developed specifically for Multisport Trackpants & Leisure Shorts.




  Washing Instructions 
DO NOT TUMBLE DRY
Wash at 40c or belo",/g/i/girls-kuro-short-front_1_7.png,,/g/i/girls-kuro-short-front_1_7.png,,/g/i/girls-kuro-short-front_1_7.png,,,,"6/20/19, 5:01 PM","11/6/19, 11:42 AM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=RYB,size=CHD,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-06-24 10:49:56,,,,,,,"/g/i/girls-kuro-short-front_1_7.png,/g/i/girls-kuro-short-back_1_7.png",",",,,,,,,,,,,
1-WAK-SHO-CLUB-BES-RYB-CHD,,Default,simple,"Root Catalog Migrated/Schools & Clubs,Root Catalog Migrated/Schools & Clubs/Wellington Academy Al Khail",base_migrated,Multi Sports Shorts | Boys,"<p>Micro Poplin breathable fabric, with a semi-matt sports finish. This durable fabric was developed specifically for Multisport Trackpants & Leisure Shorts.</P>

<br>
<img src=""{{media url='wysiwyg/sizeguide/taslonpolyester.png'}}"" style=""-ms-interpolation-mode: bicubic; max-width: 200px;"">

<p> <strong> Washing Instructions</strong> </p>
<li><span style=""color: #da1f26;"">DO NOT TUMBLE DRY</li>
<li>Wash at 40c or below</li>
<li>Always look for the garment care label and follow the washing instructions</li>
<li>Garments of similar colours can be wash together where stated on the label</li>
<li>Wash match play garments promptly. Do not allow mud or stains to set</li>
","<p>Please click here for <span style=""color: #0000ff;"">&nbsp;<strong><a href=""{{media url='wysiwyg/sizeguide/Fitting_Guides_Male.pdf'}}"" target=""_blank""><span style=""color: #0000ff;"">Size Guide</span></a></strong></span></p>
<p>&nbsp;</p>

<p>This item is only available on a pre-ordering system. <span style=""color: #0000ff;"">&nbsp;<strong>DEADLINE TO ORDER IS 26 JUNE 2019</span></a></strong></span>, delivery will be approximately 6-8 weeks from this date, and you will be notified when your order has arrived.</p>

Color : Royal 018 | Fabric: Taslon Polyester | 110 gm 100% Polyester",1,1,Taxable Goods,Not Visible Individually,110,,,,multi-sports-shorts-boys,Multi Sports Shorts | Boys,Multi Sports Shorts | Boys,"Multi Sports Shorts | Boys Micro Poplin breathable fabric, with a semi-matt sports finish. This durable fabric was developed specifically for Multisport Trackpants & Leisure Shorts.




  Washing Instructions 
DO NOT TUMBLE DRY
Wash at 40c or below",/b/o/boys-multisports-short-front_1_8.png,,/b/o/boys-multisports-short-front_1_8.png,,/b/o/boys-multisports-short-front_1_8.png,,,,"6/20/19, 5:11 PM","11/6/19, 11:42 AM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=RYB,size=CHD,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-06-24 10:49:56,,,,,,,"/b/o/boys-multisports-short-front_1_8.png,/b/o/boys-multisports-short-back_1_8.png",",",,,,,,,,,,,
1-WAK-FOT-SHI-GK002G-YLW	-10,,Default,simple,,base_migrated,Goalkeeper Shirt | Girls,,,1,1,Taxable Goods,Not Visible Individually,243.6,,,,goalkeeper-shirt-girls,Goalkeeper Shirt | Girls,Goalkeeper Shirt | Girls,Goalkeeper Shirt | Girls ,/g/k/gkl_1.jpg,,/g/k/gkl_1.jpg,,/g/k/gkl_1.jpg,,,,"6/20/19, 5:36 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=YLW/RYB,size=10,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:46,,,,,,,/g/k/gkl_1.jpg,,,,,,,,,,,,
1-WAK-FOT-SHI-GK002G-YLW	-12,,Default,simple,,base_migrated,Goalkeeper Shirt | Girls,,,1,1,Taxable Goods,Not Visible Individually,243.6,,,,goalkeeper-shirt-girls,Goalkeeper Shirt | Girls,Goalkeeper Shirt | Girls,Goalkeeper Shirt | Girls ,/g/k/gkl_1_1.jpg,,/g/k/gkl_1_1.jpg,,/g/k/gkl_1_1.jpg,,,,"6/20/19, 5:36 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=YLW/RYB,size=12,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:46,,,,,,,/g/k/gkl_1_1.jpg,,,,,,,,,,,,
1-WAK-FOT-SHI-GK002G-YLW	-14,,Default,simple,,base_migrated,Goalkeeper Shirt | Girls,,,1,1,Taxable Goods,Not Visible Individually,243.6,,,,goalkeeper-shirt-girls,Goalkeeper Shirt | Girls,Goalkeeper Shirt | Girls,Goalkeeper Shirt | Girls ,/g/k/gkl_1_2.jpg,,/g/k/gkl_1_2.jpg,,/g/k/gkl_1_2.jpg,,,,"6/20/19, 5:36 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=YLW/RYB,size=14,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:46,,,,,,,/g/k/gkl_1_2.jpg,,,,,,,,,,,,
1-WAK-FOT-SHI-GK002G-YLW	-16,,Default,simple,,base_migrated,Goalkeeper Shirt | Girls,,,1,1,Taxable Goods,Not Visible Individually,243.6,,,,goalkeeper-shirt-girls,Goalkeeper Shirt | Girls,Goalkeeper Shirt | Girls,Goalkeeper Shirt | Girls ,/g/k/gkl_1_3.jpg,,/g/k/gkl_1_3.jpg,,/g/k/gkl_1_3.jpg,,,,"6/20/19, 5:36 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=YLW/RYB,size=16,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:46,,,,,,,/g/k/gkl_1_3.jpg,,,,,,,,,,,,
1-WAK-FOT-SHI-GK002G-YLW	,,Default,configurable,,base_migrated,Goalkeeper Shirt | Girls,,,1,1,Taxable Goods,Catalog,,,,,goalkeeper-shirt-girls,Goalkeeper Shirt | Girls,Goalkeeper Shirt | Girls,Goalkeeper Shirt | Girls ,/g/k/gkl.jpg,,/g/k/gkl.jpg,,/g/k/gkl.jpg,,no_selection,,"6/20/19, 5:36 PM","8/26/19, 10:56 AM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=YLW/RYB,webpos_visible=Yes",0,0,,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,2,2019-06-24 10:49:56,,,,,,,/g/k/gkl.jpg,,,,,,,,,,"sku=1-WAK-FOT-SHI-GK002G-YLW	-10,size=10,size=10|sku=1-WAK-FOT-SHI-GK002G-YLW	-12,size=12,size=12|sku=1-WAK-FOT-SHI-GK002G-YLW	-14,size=14,size=14|sku=1-WAK-FOT-SHI-GK002G-YLW	-16,size=16,size=16",size=Size,
1-WAK-BAS-SIN002-RYB/WHT-LB,,Default,simple,,base_migrated,Basketball Singlet,,,1,1,Taxable Goods,Not Visible Individually,162.75,,,,basketball-singlet,Basketball Singlet,Basketball Singlet,Basketball Singlet ,/b/s/bsb_1.jpg,,/b/s/bsb_1.jpg,,/b/s/bsb_1.jpg,,,,"6/20/19, 5:41 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=RYB/WHT,product_brand=Samurai Sportswear,size=LB,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:43,,,,,,,/b/s/bsb_1.jpg,,,,,,,,,,,,
1-WAK-BAS-SIN002-RYB/WHT-XS,,Default,simple,,base_migrated,Basketball Singlet,,,1,1,Taxable Goods,Not Visible Individually,183.75,,,,basketball-singlet,Basketball Singlet,Basketball Singlet,Basketball Singlet ,/b/s/bsb_1_1.jpg,,/b/s/bsb_1_1.jpg,,/b/s/bsb_1_1.jpg,,,,"6/20/19, 5:41 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=RYB/WHT,product_brand=Samurai Sportswear,size=XS,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:43,,,,,,,/b/s/bsb_1_1.jpg,,,,,,,,,,,,
1-WAK-BAS-SIN002-RYB/WHT-S,,Default,simple,,base_migrated,Basketball Singlet,,,1,1,Taxable Goods,Not Visible Individually,183.75,,,,basketball-singlet,Basketball Singlet,Basketball Singlet,Basketball Singlet ,/b/s/bsb_1_2.jpg,,/b/s/bsb_1_2.jpg,,/b/s/bsb_1_2.jpg,,,,"6/20/19, 5:41 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=RYB/WHT,product_brand=Samurai Sportswear,size=S,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:44,,,,,,,/b/s/bsb_1_2.jpg,,,,,,,,,,,,
